word_id,word_glyph,morpheme_count,total_frequency,confidence,average_morpheme_confidence,verification_status,potential_meaning,morphemes
top_088,otedy,5,0,0.0,0.0,unverified,,o + t + e + d + y
top_087,oky,3,0,0.0,0.0,unverified,,o + k + y
top_086,okaly,5,0,0.0,0.0,unverified,,o + k + a + l + y
top_085,okal,4,0,0.0,0.0,unverified,,o + k + a + l
top_084,l,1,0,0.0,0.0,unverified,,l
top_083,f,1,0,0.0,0.0,unverified,,f
top_082,$X=C>,5,0,0.0,0.0,unverified,,$ + X + = + C + >
top_081,$C=X>,5,0,0.0,0.0,unverified,,$ + C + = + X + >
top_080,$C=5>,5,0,0.0,0.0,unverified,,$ + C + = + 5 + >
top_079,$C=3>,5,0,0.0,0.0,unverified,,$ + C + = + 3 + >
top_052,$H=4,4,0,0.0,0.0,unverified,,$ + H + = + 4
top_051,$I=Z,4,0,0.0,0.0,unverified,,$ + I + = + Z
top_050,$P=P,4,0,0.0,0.0,unverified,,$ + P + = + P
top_025,$F=x,4,0,0.0,0.0,unverified,,$ + F + = + x
top_023,$F=c,4,0,0.0,0.0,unverified,,$ + F + = + c
top_022,$P=B,4,0,0.0,0.0,unverified,,$ + P + = + B
top_021,$I=B,4,0,0.0,0.0,unverified,,$ + I + = + B
top_020,$H=1>,5,0,0.0,0.0,unverified,,$ + H + = + 1 + >
top_019,$Q=M,4,0,0.0,0.0,unverified,,$ + Q + = + M
top_018,$Q=T,4,0,0.0,0.0,unverified,,$ + Q + = + T
top_017,$I=S,4,0,0.0,0.0,unverified,,$ + I + = + S
top_016,$F=b,4,0,0.0,0.0,unverified,,$ + F + = + b
top_015,$F=y,4,0,0.0,0.0,unverified,,$ + F + = + y
top_014,$B=4,4,0,0.0,0.0,unverified,,$ + B + = + 4
top_013,$B=3,4,0,0.0,0.0,unverified,,$ + B + = + 3
top_012,$F=a,4,0,0.0,0.0,unverified,,$ + F + = + a
top_011,$C=2>,5,0,0.0,0.0,unverified,,$ + C + = + 2 + >
top_010,$H=2,4,0,0.0,0.0,unverified,,$ + H + = + 2
top_009,$F=z,4,0,0.0,0.0,unverified,,$ + F + = + z
top_008,$B=2,4,0,0.0,0.0,unverified,,$ + B + = + 2
top_007,$C=1>,5,0,0.0,0.0,unverified,,$ + C + = + 1 + >
top_006,$L=B,4,0,0.0,0.0,unverified,,$ + L + = + B
top_005,$B=1,4,0,0.0,0.0,unverified,,$ + B + = + 1
top_004,$H=1,4,0,0.0,0.0,unverified,,$ + H + = + 1
top_003,$L=A,4,0,0.0,0.0,unverified,,$ + L + = + A
top_024,$F=w,4,0,0.0,0.0,unverified,,$ + F + = + w
top_026,$H=3>,5,0,0.0,0.0,unverified,,$ + H + = + 3 + >
top_049,$P=O,4,0,0.0,0.0,unverified,,$ + P + = + O
top_027,$Q=A,4,0,0.0,0.0,unverified,,$ + Q + = + A
top_048,$P=M,4,0,0.0,0.0,unverified,,$ + P + = + M
top_047,$P=G,4,0,0.0,0.0,unverified,,$ + P + = + G
top_046,$P=L,4,0,0.0,0.0,unverified,,$ + P + = + L
top_045,$P=J,4,0,0.0,0.0,unverified,,$ + P + = + J
top_044,$P=I,4,0,0.0,0.0,unverified,,$ + P + = + I
top_043,$P=H,4,0,0.0,0.0,unverified,,$ + P + = + H
top_042,$H=3,4,0,0.0,0.0,unverified,,$ + H + = + 3
top_041,$H=4>,5,0,0.0,0.0,unverified,,$ + H + = + 4 + >
top_040,$Q=B,4,0,0.0,0.0,unverified,,$ + Q + = + B
top_039,$P=F,4,0,0.0,0.0,unverified,,$ + P + = + F
top_038,$P=E,4,0,0.0,0.0,unverified,,$ + P + = + E
top_037,$P=D,4,0,0.0,0.0,unverified,,$ + P + = + D
top_036,$P=C,4,0,0.0,0.0,unverified,,$ + P + = + C
top_035,$I=P,4,0,0.0,0.0,unverified,,$ + I + = + P
top_034,$Q=G,4,0,0.0,0.0,unverified,,$ + Q + = + G
top_033,$Q=F,4,0,0.0,0.0,unverified,,$ + Q + = + F
top_032,$Q=E,4,0,0.0,0.0,unverified,,$ + Q + = + E
top_031,$Q=D,4,0,0.0,0.0,unverified,,$ + Q + = + D
top_030,$Q=C,4,0,0.0,0.0,unverified,,$ + Q + = + C
top_029,$F=d,4,0,0.0,0.0,unverified,,$ + F + = + d
top_028,$P=A,4,0,0.0,0.0,unverified,,$ + P + = + A
top_100,$X=O>,5,0,0.0,0.0,unverified,,$ + X + = + O + >
